species_label,species,family,Tag,growth_form,mesh_size,diameter_class,diameter_1 size_cm,diameter_2 size_cm,diameter_3 size_cm,Bark thickness_1 _mm,Bark thickness_2 _mm,Bark thickness_3 _mm,Bark thickness_4_mm,length_cm,Wet_weight_of_wood_block_g,Wet_weight_of_small_pieces_of_wood_g,Volume_of_wet_small_pieces/g,Dry_weight_of_small_wood_blocks_g,Dry_volume_of_small_wood_blocks/g
F65,Piper umbellatum,,T1072,Trees,Invertebrates blocked,5.0 cm,4,4,4,2.18,1.43,1.57,1.22,20,264.65,36.22,33.27,13.17,23.64
F65,Piper umbellatum,,T1056,Trees,Invertebrates blocked,5.0 cm,3.7,3.6,3.6,1.4,1.66,1.36,1.56,19.5,227.96,31.69,29.29,11.75,20.44
F54,Mesua ferrea,,T0405,Trees,Invertebrates access,2.5 cm,2,2,2.2,0.17,0.87,0.62,0.41,21,86.04,8.72,8.6,6.15,8.27
F54,Mesua ferrea,,T0403,Trees,Invertebrates access,2.5 cm,2,2,2.1,0.56,0.78,0.7,0.65,20,74.69,7.71,7.81,5.28,6.79
F54,Mesua ferrea,,T0407,Trees,Invertebrates access,2.5 cm,2,2.2,2.1,1.94,1.13,1,1.96,21,82.77,7.5,7.14,5.38,6.34
F54,Mesua ferrea,,T0409,Trees,Invertebrates access,2.5 cm,2.2,2.2,2.3,0.76,0.43,0.81,0.6,20,85.75,9.08,8.97,6.2,7.99
F54,Mesua ferrea,,T0417,Trees,Invertebrates access,2.5 cm,2.4,2.3,2.4,0.75,0.85,0.7,0.66,21,99.01,10.5,10,7.47,8.79
F54,Mesua ferrea,,T0431,Trees,Invertebrates access,2.5 cm,2.3,2.3,2.5,0.67,0.81,0.62,0.6,19,88.86,9.21,8.87,6.6,7.82
F54,Mesua ferrea,,T0413,Trees,Invertebrates access,2.5 cm,2.3,2.5,2.4,0.67,0.62,0.8,0.57,21,110.12,11.11,10.46,7.98,9.44
F54,Mesua ferrea,,T0425,Trees,Invertebrates access,2.5 cm,2.3,2.4,2.4,1.07,1.07,0.89,0.98,21,99.7,9.92,9.26,6.89,8.32
F54,Mesua ferrea,,T0415,Trees,Invertebrates access,2.5 cm,2.2,2.2,2.2,1.68,0.65,0.62,0.8,20,75.72,8.14,8.33,5.67,7.42
F54,Mesua ferrea,,T0421,Trees,Invertebrates access,2.5 cm,2.5,2.3,2.6,0.56,0.5,0.6,0.44,21,103.48,12.14,11.36,8.71,10.42
F54,Mesua ferrea,,T0411,Trees,Invertebrates access,2.5 cm,2.6,2.4,2.3,0.98,0.92,0.65,0.76,21,98.91,9.56,9.09,6.73,8.12
F54,Mesua ferrea,,T0401,Trees,Invertebrates access,2.5 cm,2.4,2.2,2.1,0.53,0.59,0.52,0.53,20,85.42,8.18,7.7,5.82,7.22
F54,Mesua ferrea,,T0419,Trees,Invertebrates access,2.5 cm,2.4,2.5,2.5,0.74,0.43,0.69,0.74,20.5,104.16,6.32,11.35,9.03,10.35
