date,Tag,log_fresh_weight,wood_weight,subsection,disk_fresh_weight,disk_fresh_volume,disk_dry_weight,disk_dry_volume,Bark_fresh_mass_at_harvest,Bark_fresh_volume_at_harvest,Dry_bark_mass_at_harvest,Dry_bark_volume_at_harvest,Harvest,Time_months,incubation_time,block
6.12.2022,L1024,39.76,0,1,4.64,9.41,3.72,8.03,0,0,0,0,1,6 months,6,4
6.12.2022,T0327,38.94,0,1,4.68,8.82,3.59,8.02,0,0,0,0,1,6 months,6,1
6.12.2022,L0160,47.73,0,1,4.69,13.64,3.56,11.48,0,0,0,0,1,6 months,6,1
6.12.2022,L1224,49.98,0,1,4.69,13.37,4.02,12.19,0,0,0,0,1,6 months,6,3
6.12.2022,T1003,43.22,0,2,4.71,9.12,3.76,8.16,0,0,0,0,1,6 months,6,1
6.12.2022,T0953,43.72,0,2,4.71,6.72,3.84,6.39,0,0,0,0,1,6 months,6,2
6.12.2022,T1022,68,0,2,4.71,13.4,3.71,11.99,0,0,0,0,1,6 months,6,2
6.12.2022,T0003,55.71,0,2,4.74,10.29,3.91,9.78,0,0,0,0,1,6 months,6,2
6.12.2022,L0419,34.71,0,2,4.74,10.59,3.9,9.18,0,0,0,0,1,6 months,6,2
6.12.2022,L3966,51.2,0,1,4.74,14.39,3.91,13.38,0,0,0,0,1,6 months,6,3
6.12.2022,T0626,47.87,0,1,4.75,11.16,3.81,10.44,0,0,0,0,1,6 months,6,4
6.12.2022,L3826,44.36,0,1,4.77,13.23,3.82,12.05,0,0,0,0,1,6 months,6,2
6.12.2022,T0102,34.89,0,2,4.78,9.81,3.99,9.07,0,0,0,0,1,6 months,6,4
6.12.2022,L0406,40.15,0,1,4.82,10.67,4.09,9.57,0,0,0,0,1,6 months,6,2
6.12.2022,T1003,43.22,0,1,4.83,9.78,3.85,8.7,0,0,0,0,1,6 months,6,1
6.12.2022,T0123,44.43,0,2,4.84,10.06,4.12,9.47,0,0,0,0,1,6 months,6,2
6.12.2022,T0108,45.17,0,1,4.85,8.51,2.41,7.42,0,0,0,0,1,6 months,6,1
6.12.2022,T0411,58.04,0,1,4.85,5.29,3.83,4.28,0,0,0,0,1,6 months,6,2
6.12.2022,T0110,68.95,0,2,4.86,10.44,4.08,9.86,0,0,0,0,1,6 months,6,2
6.12.2022,T0619,21.8,0,1,4.86,9.13,4.16,8.72,0,0,0,0,1,6 months,6,4
6.12.2022,T0323,44.15,0,1,4.86,7.17,4.37,6.98,0,0,0,0,1,6 months,6,4
6.12.2022,L1208,56.2,0,2,4.88,12.68,3.37,11.09,0,0,0,0,1,6 months,6,1
6.12.2022,T0258,59.25,0,2,4.88,12.56,3.96,11.4,0,0,0,0,1,6 months,6,1
6.12.2022,T0308,62.52,0,2,4.88,11.73,4.23,11.19,0,0,0,0,1,6 months,6,2
6.12.2022,L0963,89.44,0,2,4.93,11.49,8.08,17.46,0,0,0,0,1,6 months,6,1
6.12.2022,T0730,63.57,0,2,4.94,11.75,4.4,11.1,0,0,0,0,1,6 months,6,4
6.12.2022,T0003,55.71,0,1,4.96,11.54,4.14,10.45,0,0,0,0,1,6 months,6,2
6.12.2022,L1206,53.61,0,1,4.96,13.52,4.18,12.42,0,0,0,0,1,6 months,6,2
6.12.2022,T0405,59.72,0,1,4.96,6.9,4.5,6.41,0,0,0,0,1,6 months,6,3
6.12.2022,L4128,44.82,0,1,4.96,8.27,3.38,7.62,0,0,0,0,1,6 months,6,4
6.12.2022,L1208,56.2,0,1,4.98,13.45,3.99,11.87,0,0,0,0,1,6 months,6,1
6.12.2022,T1006,53.05,0,2,4.99,13.03,3.36,11.71,0,0,0,0,1,6 months,6,1
6.12.2022,L3975,92.72,0,2,5,8.91,3.75,7.61,0,0,0,0,1,6 months,6,1
6.12.2022,T0921,36.53,0,1,5.01,6.83,4.17,6.26,0,0,0,0,1,6 months,6,2
6.12.2022,T0411,58.04,0,2,5.01,5.3,3.93,4.47,0,0,0,0,1,6 months,6,2
6.12.2022,T0308,62.52,0,1,5.01,11.74,4.39,11.46,0,0,0,0,1,6 months,6,2
6.12.2022,L1274,48.76,0,2,5.01,14.13,4.22,12.93,0,0,0,0,1,6 months,6,3
6.12.2022,T0557,42.96,0,2,5.01,14.52,5.62,13.53,0,0,0,0,1,6 months,6,4
6.12.2022,L0104,48.18,0,1,5.02,12.84,3.79,11.13,0,0,0,0,1,6 months,6,4
6.12.2022,L4128,44.82,0,2,5.07,8.59,3.49,7.97,0,0,0,0,1,6 months,6,4
6.12.2022,L4586,87.78,0,2,5.08,19.47,4.48,18.29,0,0,0,0,1,6 months,6,2
6.12.2022,L0122,53.89,0,1,5.08,14.39,4.24,12.7,0,0,0,0,1,6 months,6,3
6.12.2022,L4161,59.41,0,2,5.11,9.93,4.4,9.55,0,0,0,0,1,6 months,6,3
6.12.2022,T0002,33.56,0,1,5.11,13.37,4.33,12.76,0,0,0,0,1,6 months,6,4
6.12.2022,L0160,47.73,0,2,5.12,14.07,3.77,11.64,0,0,0,0,1,6 months,6,1
6.12.2022,L0167,61.94,0,1,5.14,7.75,4.36,6.77,0,0,0,0,1,6 months,6,3
6.12.2022,T0960,59.82,0,2,5.15,6.95,4.29,6.68,0,0,0,0,1,6 months,6,2
6.12.2022,L1225,49.55,0,1,5.15,14.13,4.47,12.9,0,0,0,0,1,6 months,6,3
6.12.2022,L0919,42.51,0,1,5.17,10.76,4.57,10.09,0,0,0,0,1,6 months,6,4
